uni_name
Bucheon University
Sahmyook Health University
Sangji Youngseo College
Seoul Institute Of The Arts
Seoil University
Sungsim College Of Foreign Languages
Suwon Women'S University
Suwon Science College
Suncheon Jeil College
Soongeui Women's University
Shingu College
Shinsung University
Shin Ansan University
Ansan University
Dongwon Institute Of Science And Technology
Yeoju Institute Of Technology
Yonam College
Yeungnam University College
Gangneung Yeongdong University
Saekyung University
Yeungjin University
Yong-In Arts & Science University
Ulsan College
Korea University Of Media Arts
Wonkwang Health Science University
Yuhan University
Induk University
Jangan College
Chunnam Techno University
Vision College Of Jeonju
Jeonbuk Science College
Jeju Tourism University
Chosun College Of Science & Technoloy
Chungbuk Health And Science University
Jinju Health College
Changshin College
Changwon Moonsung University
Baekseok Culture University
Chungkang College Of Cultural Industries
Choonhae College Of Health Sciences
Daeduk University
Chungcheong University
Kangwon Tourism College
Kookje University
Sunlin  University
Hallym Polytechnic University
Hanyang Women's University
Hanyeong University
Hyejeon College
Gyeonggi University Of Science And Technology
Busan Arts College
Jeonnam State University
Songho University
Korea Tourism College
Seojeong University
Songgok University
Woongji Accounting & Tax College
Gimhae College
Korea Lift College
YEUNGJIN CYBER UNIVERSITY
Corea Welfare Cyber University
Korea Golf University of Science & Technology
ICT Polytech Institute of Korea
Seoul Jungsu Campus Of Korea PolytechnicⅠ
Korea PolytechnicsⅠcollege Seoulkangseocampus
Seong Nam Campus Of Korea PolytechnicⅠ
Incheon Campus Of Korea Polytechnic Ⅱ
Namincheon Campus Of Korea Polytechnin Ⅱ
Chuncheon Campus Of Korea Polytechnic
Gangneung Campus Of Korea PolytechnicsⅢ
Daejeon Campus of Korea Polytechnic IV
Cheongju Campus Of Korea Polytechnic IV
Asan Campus Of Korea Polytechnic IV
Chungnam Campus Of Korea Polytechnics
Gwangju Campus Of Korea Polytechnic V
Jeounbuk Campus Of Korea Polytechnics
Jeonnam Campus Of Korea Polytechnic V College
Iksan Campus Of Korea Polytechnic V
Daegu Campus Of Korea Polytechnic Vi
